*NC_000964.3_354_488_891*|*126144:127356*+	SANDPUMA		SNN=	PATHACC=0.937
*NC_000964.3_354_2572_2962*|*128228:129401*+	SANDPUMA	no_call	SNN=	PATHACC=0.091
*NC_000964.3_354_1532_1932*|*127188:128391*+	SANDPUMA	no_call	SNN=	PATHACC=0.091
*NC_000964.3_355_1523_1928*|*130771:131989*+	SANDPUMA		SNN=	PATHACC=0.929
*NC_000964.3_355_2568_2958*|*131816:132989*+	SANDPUMA	no_call	SNN=	PATHACC=0.091
*NC_000964.3_355_492_888*|*129740:130931*+	SANDPUMA		SNN=	PATHACC=0.692
*NC_000964.3_356_491_891*|*133335:134538*+	SANDPUMA	no_call	SNN=	PATHACC=0.091
*NC_000964.3_1770_61_479*|*597663:598920*+	SANDPUMA	no_call	SNN=	PATHACC=0.100
*NC_000964.3_1770_1181_1578*|*598783:599977*+	SANDPUMA		SNN=	PATHACC=1.000
*NC_000964.3_1773_519_929*|*611962:613195*+	SANDPUMA	no_call	SNN=	PATHACC=0.333
*NC_000964.3_1892_496_891*|*3464581:3463393*-	SANDPUMA		SNN=	PATHACC=1.000
*NC_000964.3_1893_2560_2956*|*3466129:3464938*-	SANDPUMA	no_call	SNN=	PATHACC=0.000
*NC_000964.3_1893_490_888*|*3468199:3467002*-	SANDPUMA		SNN=	PATHACC=1.000
*NC_000964.3_1893_1521_1924*|*3467168:3465956*-	SANDPUMA		SNN=	PATHACC=0.937
*NC_000964.3_1894_1532_1927*|*3469721:3468533*-	SANDPUMA		SNN=	PATHACC=0.692
*NC_000964.3_1894_491_894*|*3470762:3469550*-	SANDPUMA		SNN=	PATHACC=0.937
*NC_000964.3_1895_1527_1927*|*3472293:3471090*-	SANDPUMA		SNN=	PATHACC=1.000
*NC_000964.3_1895_496_889*|*3473324:3472142*-	SANDPUMA	no_call	SNN=	PATHACC=0.000
*NC_000964.3_1896_1525_1932*|*3474865:3473641*-	SANDPUMA	no_call	SNN=	PATHACC=
*NC_000964.3_1896_485_888*|*3475905:3474693*-	SANDPUMA		SNN=	PATHACC=0.937
*NC_000964.3_3298_486_885*|*3905804:3904604*-	SANDPUMA		SNN=	PATHACC=1.000
*NC_000964.3_3298_1541_1959*|*3904749:3903492*-	SANDPUMA		SNN=	PATHACC=1.000
